mechanism,split,score_thr,metric,score_min_exportado,TP,FP,FN,precision,recall,f1
btm_forest_ensemble_uniform,test,0.05,IoU,0.0100194718688726,651,544,39,54.47698744769875,94.34782608695652,69.07161803713528
btm_forest_ensemble_uniform,test,0.1,IoU,0.0100194718688726,637,347,53,64.73577235772358,92.31884057971016,76.10513739545998
btm_forest_ensemble_uniform,test,0.15,IoU,0.0100194718688726,625,247,65,71.67431192660551,90.57971014492752,80.0256081946223
btm_forest_ensemble_uniform,test,0.2,IoU,0.0100194718688726,610,193,80,75.96513075965132,88.40579710144928,81.71466845277963
btm_forest_ensemble_uniform,test,0.25,IoU,0.0100194718688726,601,153,89,79.70822281167109,87.10144927536231,83.2409972299169
btm_forest_ensemble_uniform,test,0.3,IoU,0.0100194718688726,588,123,102,82.70042194092827,85.21739130434783,83.94004282655246
btm_forest_ensemble_uniform,test,0.35,IoU,0.0100194718688726,579,103,111,84.89736070381232,83.91304347826087,84.40233236151606
btm_forest_ensemble_uniform,test,0.4,IoU,0.0100194718688726,561,86,129,86.70788253477589,81.30434782608695,83.91922213911744
btm_forest_ensemble_uniform,test,0.45,IoU,0.0100194718688726,540,67,150,88.96210873146623,78.26086956521739,83.26908249807248
btm_forest_ensemble_uniform,test,0.5,IoU,0.0100194718688726,520,53,170,90.75043630017451,75.36231884057972,82.34362628661917
btm_forest_ensemble_uniform,test,0.55,IoU,0.0100194718688726,498,41,192,92.39332096474952,72.17391304347827,81.04149715215623
btm_forest_ensemble_uniform,test,0.6,IoU,0.0100194718688726,455,30,235,93.81443298969072,65.94202898550725,77.4468085106383
btm_forest_ensemble_uniform,test,0.7,IoU,0.0100194718688726,372,18,318,95.3846153846154,53.91304347826087,68.88888888888889
btm_forest_ensemble_uniform,test,0.8,IoU,0.0100194718688726,267,6,423,97.8021978021978,38.69565217391304,55.45171339563864
btm_forest_ensemble_uniform,test,0.9,IoU,0.0100194718688726,90,2,600,97.82608695652172,13.043478260869565,23.017902813299237
btm_forest_ensemble_uniform,test,0.01,S-IoU,0.0100194718688726,813,1123,4,41.99380165289256,99.51040391676868,59.06284053759534
btm_forest_ensemble_uniform,test,0.05,S-IoU,0.0100194718688726,719,476,13,60.1673640167364,98.224043715847,74.6237675142709
btm_forest_ensemble_uniform,test,0.1,S-IoU,0.0100194718688726,679,305,23,69.0040650406504,96.72364672364672,80.54567022538552
btm_forest_ensemble_uniform,test,0.15,S-IoU,0.0100194718688726,648,224,28,74.31192660550458,95.85798816568048,83.72093023255815
btm_forest_ensemble_uniform,test,0.2,S-IoU,0.0100194718688726,630,173,39,78.4557907845579,94.17040358744396,85.59782608695653
btm_forest_ensemble_uniform,test,0.25,S-IoU,0.0100194718688726,614,140,51,81.43236074270557,92.33082706766918,86.5398167723749
btm_forest_ensemble_uniform,test,0.3,S-IoU,0.0100194718688726,594,117,67,83.54430379746836,89.86384266263238,86.58892128279884
btm_forest_ensemble_uniform,test,0.35,S-IoU,0.0100194718688726,585,97,75,85.77712609970675,88.63636363636364,87.1833084947839
btm_forest_ensemble_uniform,test,0.4,S-IoU,0.0100194718688726,570,77,91,88.09891808346212,86.23298033282904,87.1559633027523
btm_forest_ensemble_uniform,test,0.45,S-IoU,0.0100194718688726,549,58,111,90.44481054365733,83.18181818181817,86.66140489344909
btm_forest_ensemble_uniform,test,0.5,S-IoU,0.0100194718688726,526,47,130,91.7975567190227,80.1829268292683,85.59804719283972
btm_forest_ensemble_uniform,test,0.55,S-IoU,0.0100194718688726,503,36,157,93.32096474953616,76.2121212121212,83.90325271059216
btm_forest_ensemble_uniform,test,0.6,S-IoU,0.0100194718688726,457,28,206,94.22680412371132,68.92911010558069,79.61672473867596
btm_forest_ensemble_uniform,test,0.7,S-IoU,0.0100194718688726,372,18,297,95.3846153846154,55.60538116591929,70.25495750708217
btm_forest_ensemble_uniform,test,0.8,S-IoU,0.0100194718688726,267,6,409,97.8021978021978,39.49704142011834,56.26975763962066
btm_forest_ensemble_uniform,test,0.9,S-IoU,0.0100194718688726,91,1,594,98.91304347826086,13.284671532846716,23.423423423423426
btm_forest_soup,field_work,0.02,IoU,0.0201,802,255,969,75.87511825922422,45.28514963297572,56.718528995756714
btm_forest_soup,field_work,0.05,IoU,0.0201,630,120,1141,84.0,35.573122529644266,49.98016660055533
