experiment,split,mechanism,threshold,metric,TP,FP,FN,precision,recall,f1,mAP50,mAP50_95
juniperus_seg_by_region_20260828_114011,test,expert_E_region0_solo,@75,S-IoU,567,254,49,69.06211936662606,92.04545454545455,78.91440501043841,0.871816299053488,0.5877175696129545
juniperus_seg_by_region_20260828_114011,test,expert_E_region1_solo,@50,IoU,567,109,123,83.87573964497041,82.17391304347827,83.0161054172767,0.7970260049788488,0.5293804154379633
juniperus_seg_by_region_20260828_114011,test,expert_E_region1_solo,@50,S-IoU,574,102,71,84.91124260355029,88.9922480620155,86.90386071158214,0.7970260049788488,0.5293804154379633
juniperus_seg_by_region_20260828_114011,test,expert_E_region1_solo,@75,IoU,453,223,237,67.01183431952663,65.65217391304347,66.32503660322108,0.7970260049788488,0.5293804154379633
juniperus_seg_by_region_20260828_114011,test,expert_E_region1_solo,@75,S-IoU,525,151,91,77.66272189349112,85.22727272727273,81.26934984520125,0.7970260049788488,0.5293804154379633
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_uniform,@50,IoU,638,271,52,70.18701870187019,92.46376811594203,79.79987492182615,0.8850257861946009,0.5967650382396433
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_uniform,@50,S-IoU,670,239,21,73.7073707370737,96.96092619392185,83.75,0.8850257861946009,0.5967650382396433
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_uniform,@75,IoU,504,405,186,55.44554455445545,73.04347826086956,63.039399624765494,0.8850257861946009,0.5967650382396433
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_uniform,@75,S-IoU,597,312,39,65.67656765676567,93.86792452830188,77.28155339805825,0.8850257861946009,0.5967650382396433
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_weighted,@50,IoU,638,271,52,70.18701870187019,92.46376811594203,79.79987492182615,0.8859891634349809,0.5981581588292803
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_weighted,@50,S-IoU,671,238,21,73.81738173817382,96.96531791907515,83.82261086820736,0.8859891634349809,0.5981581588292803
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_weighted,@75,IoU,507,402,183,55.775577557755774,73.47826086956522,63.41463414634146,0.8859891634349809,0.5981581588292803
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_weighted,@75,S-IoU,599,310,39,65.8965896589659,93.8871473354232,77.44020685197157,0.8859891634349809,0.5981581588292803
juniperus_seg_by_region_20260828_114011,test,btm_forest_soup,@50,IoU,592,114,98,83.85269121813032,85.79710144927536,84.8137535816619,0.8374755772243423,0.6045797331164401
juniperus_seg_by_region_20260828_114011,test,btm_forest_soup,@50,S-IoU,598,108,54,84.70254957507082,91.71779141104295,88.07069219440353,0.8374755772243423,0.6045797331164401
juniperus_seg_by_region_20260828_114011,test,btm_forest_soup,@75,IoU,530,176,160,75.07082152974505,76.81159420289855,75.93123209169055,0.8374755772243423,0.6045797331164401
juniperus_seg_by_region_20260828_114011,test,btm_forest_soup,@75,S-IoU,556,150,64,78.75354107648725,89.6774193548387,83.86123680241326,0.8374755772243423,0.6045797331164401
juniperus_seg_by_region_20260828_114011,test,random_ensemble,@50,IoU,624,209,66,74.90996398559425,90.43478260869566,81.9435325016415,0.8661241811442906,0.5654674219447883
juniperus_seg_by_region_20260828_114011,test,random_ensemble,@50,S-IoU,640,193,22,76.83073229291718,96.67673716012085,85.61872909698997,0.8661241811442906,0.5654674219447883
juniperus_seg_by_region_20260828_114011,test,random_ensemble,@75,IoU,489,344,201,58.70348139255702,70.86956521739131,64.21536441234406,0.8661241811442906,0.5654674219447883
juniperus_seg_by_region_20260828_114011,test,random_ensemble,@75,S-IoU,584,249,33,70.10804321728692,94.6515397082658,80.55172413793103,0.8661241811442906,0.5654674219447883
juniperus_seg_by_region_20260828_114011,field_work,dense_baseline,@50,IoU,1155,388,616,74.85418016850292,65.21739130434783,69.70428485214242,0.6050564135027984,0.3077482491934694
juniperus_seg_by_region_20260828_114011,field_work,dense_baseline,@50,S-IoU,1216,327,426,78.80751782242385,74.05602923264311,76.35792778649922,0.6050564135027984,0.3077482491934694
juniperus_seg_by_region_20260828_114011,field_work,dense_baseline,@75,IoU,659,884,1112,42.709008425145825,37.210615471485035,39.77066988533495,0.6050564135027984,0.3077482491934694
