model,label,split,geometry,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.7,S-IoU,121,78,539,60.80402010050251,18.333333333333332,28.172293364377182
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.8,IoU,43,30,647,58.9041095890411,6.231884057971015,11.27129750982962
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.8,S-IoU,48,25,634,65.75342465753424,7.038123167155426,12.71523178807947
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.9,IoU,1,0,689,100.0,0.14492753623188406,0.28943560057887124
codetr_r50_v1,Co-DETR R50 (config inicial),test,bbox,75,0.9,S-IoU,1,0,689,100.0,0.14492753623188406,0.28943560057887124
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.05,IoU,669,1531,21,30.409090909090907,96.95652173913044,46.29757785467127
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.05,S-IoU,625,1575,3,28.40909090909091,99.52229299363057,44.200848656294205
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.1,IoU,659,745,31,46.93732193732193,95.5072463768116,62.94173829990448
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.1,S-IoU,588,816,7,41.88034188034188,98.82352941176471,58.82941470735368
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.2,IoU,641,258,49,71.30144605116796,92.89855072463769,80.67967275015732
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.2,S-IoU,550,349,17,61.179087875417125,97.00176366843033,75.03410641200544
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.25,IoU,631,191,59,76.7639902676399,91.44927536231884,83.46560846560848
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.25,S-IoU,536,286,20,65.20681265206812,96.40287769784173,77.79390420899855
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.3,IoU,614,135,76,81.97596795727637,88.98550724637681,85.33703961084086
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.3,S-IoU,519,230,26,69.29238985313752,95.22935779816514,80.21638330757341
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.4,IoU,587,71,103,89.209726443769,85.07246376811595,87.09198813056379
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.4,S-IoU,497,161,47,75.53191489361703,91.36029411764706,82.6955074875208
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.5,IoU,560,39,130,93.48914858096829,81.15942028985508,86.88906128782003
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.5,S-IoU,476,123,82,79.46577629382304,85.30465949820788,82.28176318063959
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.6,IoU,534,23,156,95.87073608617594,77.39130434782608,85.64554931836406
co_deform_swinL,Co-Deformable-DETR Swin-L,test,bbox,50,0.6,S-IoU,457,100,118,82.04667863554758,79.47826086956522,80.74204946996467
